source = 44_1.14_file-io.USDJPY.Period-H1.Days-1900.Bars-45600.20180511_181208.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv)
Max	idx_Start	idxOf_SumMax	idx(when ended)	dateTime_Local(started)	dateTime_Local(max)	dateTime_Local(ended)	dateTime(started)	dateTime(max)	dateTime(ended)	price_Close(started)	price_Close(max)	price_Close(ended)	BB_2S(max)	BB_1S(max)	BB_Main(max)	BB_M1S(max)	BB_M2S(max)
0.253000	467	468	474	2018.02.17 03:00	2018.02.17 04:00	2018.02.19 10:00	2018.02.16 20:00	2018.02.16 21:00	2018.02.19 03:00	106.242	106.312	106.107	106.402	106.235	106.067	105.899	105.731
1.717000	475	523	558	2018.02.19 11:00	2018.02.21 11:00	2018.02.22 22:00	2018.02.19 04:00	2018.02.21 04:00	2018.02.22 15:00	106.180	107.837	106.878	107.673	107.476	107.278	107.081	106.884
0.109000	560	561	562	2018.02.23 00:00	2018.02.23 01:00	2018.02.23 02:00	2018.02.22 17:00	2018.02.22 18:00	2018.02.22 19:00	106.890	106.963	106.803	107.841	107.577	107.313	107.049	106.786
0.026000	563	563	564	2018.02.23 03:00	2018.02.23 03:00	2018.02.23 04:00	2018.02.22 20:00	2018.02.22 20:00	2018.02.22 21:00	106.828	106.828	106.627	107.732	107.475	107.219	106.963	106.706
0.481000	565	575	577	2018.02.23 05:00	2018.02.23 15:00	2018.02.23 17:00	2018.02.22 22:00	2018.02.23 08:00	2018.02.23 10:00	106.686	107.083	106.829	107.164	107.023	106.882	106.740	106.599
0.073000	578	578	580	2018.02.23 18:00	2018.02.23 18:00	2018.02.23 20:00	2018.02.23 11:00	2018.02.23 11:00	2018.02.23 13:00	106.901	106.901	106.804	107.076	106.968	106.860	106.751	106.643
0.054000	582	582	584	2018.02.23 22:00	2018.02.23 22:00	2018.02.24 00:00	2018.02.23 15:00	2018.02.23 15:00	2018.02.23 17:00	106.781	106.781	106.599	107.065	106.954	106.844	106.734	106.623
0.051000	585	585	586	2018.02.24 01:00	2018.02.24 01:00	2018.02.24 02:00	2018.02.23 18:00	2018.02.23 18:00	2018.02.23 19:00	106.651	106.651	106.561	107.072	106.955	106.838	106.721	106.604
0.346000	587	592	593	2018.02.24 03:00	2018.02.26 08:00	2018.02.26 09:00	2018.02.23 20:00	2018.02.26 01:00	2018.02.26 02:00	106.630	107.078	106.877	107.150	106.995	106.839	106.684	106.529
0.126000	596	597	598	2018.02.26 12:00	2018.02.26 13:00	2018.02.26 14:00	2018.02.26 05:00	2018.02.26 06:00	2018.02.26 07:00	106.576	106.624	106.518	107.071	106.915	106.758	106.602	106.445
1.095000	600	632	653	2018.02.26 16:00	2018.02.28 00:00	2018.02.28 21:00	2018.02.26 09:00	2018.02.27 17:00	2018.02.28 14:00	106.545	107.562	106.947	107.318	107.169	107.019	106.870	106.720
0.161000	654	655	656	2018.02.28 22:00	2018.02.28 23:00	2018.03.01 00:00	2018.02.28 15:00	2018.02.28 16:00	2018.02.28 17:00	107.053	107.106	106.714	107.473	107.333	107.193	107.053	106.913
0.119000	658	659	660	2018.03.01 02:00	2018.03.01 03:00	2018.03.01 04:00	2018.02.28 19:00	2018.02.28 20:00	2018.02.28 21:00	106.730	106.738	106.650	107.481	107.270	107.059	106.848	106.637
0.045000	661	661	663	2018.03.01 05:00	2018.03.01 05:00	2018.03.01 07:00	2018.02.28 22:00	2018.02.28 22:00	2018.03.01 00:00	106.697	106.697	106.654	107.406	107.197	106.988	106.779	106.570
0.050000	665	665	666	2018.03.01 09:00	2018.03.01 09:00	2018.03.01 10:00	2018.03.01 02:00	2018.03.01 02:00	2018.03.01 03:00	106.686	106.686	106.646	107.286	107.082	106.879	106.675	106.472
0.184000	667	670	676	2018.03.01 11:00	2018.03.01 14:00	2018.03.01 20:00	2018.03.01 04:00	2018.03.01 07:00	2018.03.01 13:00	106.737	106.828	106.675	107.129	106.962	106.795	106.627	106.460
0.269000	677	680	681	2018.03.01 21:00	2018.03.02 00:00	2018.03.02 01:00	2018.03.01 14:00	2018.03.01 17:00	2018.03.01 18:00	106.762	107.066	106.906	106.961	106.861	106.762	106.663	106.563
0.042000	686	686	687	2018.03.02 06:00	2018.03.02 06:00	2018.03.02 07:00	2018.03.01 23:00	2018.03.01 23:00	2018.03.02 00:00	106.235	106.235	106.097	107.161	106.933	106.706	106.478	106.250
0.168000	688	689	690	2018.03.02 08:00	2018.03.02 09:00	2018.03.02 10:00	2018.03.02 01:00	2018.03.02 02:00	2018.03.02 03:00	106.170	106.266	106.013	107.205	106.912	106.618	106.325	106.031
0.028000	691	691	692	2018.03.02 11:00	2018.03.02 11:00	2018.03.02 12:00	2018.03.02 04:00	2018.03.02 04:00	2018.03.02 05:00	106.038	106.038	106.022	107.212	106.877	106.542	106.207	105.872
0.058000	693	693	694	2018.03.02 13:00	2018.03.02 13:00	2018.03.02 14:00	2018.03.02 06:00	2018.03.02 06:00	2018.03.02 07:00	106.080	106.080	105.793	107.175	106.822	106.468	106.115	105.761
0.104000	695	695	696	2018.03.02 15:00	2018.03.02 15:00	2018.03.02 16:00	2018.03.02 08:00	2018.03.02 08:00	2018.03.02 09:00	105.897	105.897	105.738	107.142	106.759	106.376	105.993	105.610
0.094000	698	698	699	2018.03.02 18:00	2018.03.02 18:00	2018.03.02 19:00	2018.03.02 11:00	2018.03.02 11:00	2018.03.02 12:00	105.757	105.757	105.536	107.015	106.616	106.216	105.817	105.418
0.039000	702	702	703	2018.03.02 22:00	2018.03.02 22:00	2018.03.02 23:00	2018.03.02 15:00	2018.03.02 15:00	2018.03.02 16:00	105.414	105.414	105.358	106.550	106.236	105.923	105.609	105.296
0.310000	704	705	707	2018.03.03 00:00	2018.03.03 01:00	2018.03.03 03:00	2018.03.02 17:00	2018.03.02 18:00	2018.03.02 20:00	105.468	105.668	105.491	106.394	106.097	105.801	105.504	105.208
0.337000	708	711	720	2018.03.03 04:00	2018.03.05 07:00	2018.03.05 16:00	2018.03.02 21:00	2018.03.05 00:00	2018.03.05 09:00	105.541	105.610	105.390	106.041	105.842	105.643	105.444	105.245
1.052000	721	739	746	2018.03.05 17:00	2018.03.06 11:00	2018.03.06 18:00	2018.03.05 10:00	2018.03.06 04:00	2018.03.06 11:00	105.539	106.407	105.862	106.580	106.266	105.952	105.638	105.325
0.491000	747	748	750	2018.03.06 19:00	2018.03.06 20:00	2018.03.06 22:00	2018.03.06 12:00	2018.03.06 13:00	2018.03.06 15:00	105.954	106.351	106.042	106.472	106.332	106.192	106.052	105.912
0.190000	753	754	755	2018.03.07 01:00	2018.03.07 02:00	2018.03.07 03:00	2018.03.06 18:00	2018.03.06 19:00	2018.03.06 20:00	106.029	106.215	106.102	106.478	106.329	106.180	106.031	105.882
0.120000	756	756	758	2018.03.07 04:00	2018.03.07 04:00	2018.03.07 06:00	2018.03.06 21:00	2018.03.06 21:00	2018.03.06 23:00	106.222	106.222	106.122	106.471	106.322	106.173	106.024	105.875
0.241000	761	762	763	2018.03.07 09:00	2018.03.07 10:00	2018.03.07 11:00	2018.03.07 02:00	2018.03.07 03:00	2018.03.07 04:00	105.640	105.818	105.674	106.452	106.240	106.028	105.816	105.603
0.013000	764	765	766	2018.03.07 12:00	2018.03.07 13:00	2018.03.07 14:00	2018.03.07 05:00	2018.03.07 06:00	2018.03.07 07:00	105.688	105.689	105.640	106.429	106.194	105.959	105.724	105.489
0.176000	768	769	770	2018.03.07 16:00	2018.03.07 17:00	2018.03.07 18:00	2018.03.07 09:00	2018.03.07 10:00	2018.03.07 11:00	105.716	105.748	105.613	106.328	106.099	105.871	105.643	105.414
1.740000	772	868	897	2018.03.07 20:00	2018.03.13 20:00	2018.03.15 01:00	2018.03.07 13:00	2018.03.13 13:00	2018.03.14 18:00	105.688	107.196	106.164	107.160	106.884	106.608	106.332	106.056
