source = 44_1.14_file-io.AUDJPY.Period-H1.Days-1900.Bars-45600.20180511_181322.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv)
Max	idx_Start	idxOf_SumMax	idx(when ended)	dateTime_Local(started)	dateTime_Local(max)	dateTime_Local(ended)	dateTime(started)	dateTime(max)	dateTime(ended)	price_Close(started)	price_Close(max)	price_Close(ended)	BB_2S(max)	BB_1S(max)	BB_Main(max)	BB_M1S(max)	BB_M2S(max)
0.128000	317	318	319	2018.02.08 21:00	2018.02.08 22:00	2018.02.08 23:00	2018.02.08 14:00	2018.02.08 15:00	2018.02.08 16:00	85.553	85.676	85.490	85.867	85.735	85.603	85.471	85.340
0.404000	323	323	325	2018.02.09 03:00	2018.02.09 03:00	2018.02.09 05:00	2018.02.08 20:00	2018.02.08 20:00	2018.02.08 22:00	85.075	85.075	84.541	86.083	85.781	85.479	85.177	84.875
0.083000	326	326	327	2018.02.09 06:00	2018.02.09 06:00	2018.02.09 07:00	2018.02.08 23:00	2018.02.08 23:00	2018.02.09 00:00	84.624	84.624	84.500	86.198	85.781	85.364	84.946	84.529
0.132000	328	329	330	2018.02.09 08:00	2018.02.09 09:00	2018.02.09 10:00	2018.02.09 01:00	2018.02.09 02:00	2018.02.09 03:00	84.547	84.633	84.540	86.202	85.709	85.215	84.722	84.228
0.546000	331	337	341	2018.02.09 11:00	2018.02.09 17:00	2018.02.09 21:00	2018.02.09 04:00	2018.02.09 10:00	2018.02.09 14:00	84.577	85.089	84.776	85.486	85.171	84.857	84.542	84.227
0.545000	342	342	344	2018.02.09 22:00	2018.02.09 22:00	2018.02.10 00:00	2018.02.09 15:00	2018.02.09 15:00	2018.02.09 17:00	85.319	85.319	84.780	85.270	85.043	84.816	84.589	84.362
1.103000	348	378	384	2018.02.10 04:00	2018.02.13 10:00	2018.02.13 16:00	2018.02.09 21:00	2018.02.13 03:00	2018.02.13 09:00	84.569	85.474	84.712	85.538	85.362	85.185	85.008	84.832
0.075000	387	387	388	2018.02.13 19:00	2018.02.13 19:00	2018.02.13 20:00	2018.02.13 12:00	2018.02.13 12:00	2018.02.13 13:00	84.707	84.707	84.596	85.727	85.448	85.170	84.892	84.614
0.024000	389	389	390	2018.02.13 21:00	2018.02.13 21:00	2018.02.13 22:00	2018.02.13 14:00	2018.02.13 14:00	2018.02.13 15:00	84.620	84.620	84.419	85.771	85.448	85.125	84.802	84.479
0.447000	392	401	403	2018.02.14 00:00	2018.02.14 09:00	2018.02.14 11:00	2018.02.13 17:00	2018.02.14 02:00	2018.02.14 04:00	84.457	84.764	84.461	85.028	84.847	84.667	84.487	84.307
0.240000	405	408	412	2018.02.14 13:00	2018.02.14 16:00	2018.02.14 20:00	2018.02.14 06:00	2018.02.14 09:00	2018.02.14 13:00	84.354	84.530	84.408	84.821	84.682	84.543	84.404	84.265
1.307000	415	421	440	2018.02.14 23:00	2018.02.15 05:00	2018.02.16 00:00	2018.02.14 16:00	2018.02.14 22:00	2018.02.15 17:00	83.785	84.825	83.901	84.972	84.680	84.387	84.095	83.802
0.768000	441	458	462	2018.02.16 01:00	2018.02.16 18:00	2018.02.16 22:00	2018.02.15 18:00	2018.02.16 11:00	2018.02.16 15:00	84.131	84.606	84.107	84.612	84.469	84.325	84.182	84.038
0.060000	465	465	466	2018.02.17 01:00	2018.02.17 01:00	2018.02.17 02:00	2018.02.16 18:00	2018.02.16 18:00	2018.02.16 19:00	84.077	84.077	84.013	84.621	84.470	84.319	84.168	84.017
0.936000	468	523	534	2018.02.17 04:00	2018.02.21 11:00	2018.02.21 22:00	2018.02.16 21:00	2018.02.21 04:00	2018.02.21 15:00	84.057	84.795	84.283	84.804	84.720	84.636	84.552	84.468
0.135000	535	536	537	2018.02.21 23:00	2018.02.22 00:00	2018.02.22 01:00	2018.02.21 16:00	2018.02.21 17:00	2018.02.21 18:00	84.317	84.418	84.306	84.847	84.694	84.541	84.388	84.234
0.095000	538	539	540	2018.02.22 02:00	2018.02.22 03:00	2018.02.22 04:00	2018.02.21 19:00	2018.02.21 20:00	2018.02.21 21:00	84.395	84.408	84.284	84.841	84.676	84.512	84.347	84.183
0.035000	542	542	543	2018.02.22 06:00	2018.02.22 06:00	2018.02.22 07:00	2018.02.21 23:00	2018.02.21 23:00	2018.02.22 00:00	84.094	84.094	84.030	84.796	84.611	84.426	84.241	84.056
0.071000	547	547	548	2018.02.22 11:00	2018.02.22 11:00	2018.02.22 12:00	2018.02.22 04:00	2018.02.22 04:00	2018.02.22 05:00	83.745	83.745	83.696	84.723	84.467	84.210	83.953	83.696
0.233000	549	551	553	2018.02.22 13:00	2018.02.22 15:00	2018.02.22 17:00	2018.02.22 06:00	2018.02.22 08:00	2018.02.22 10:00	83.835	83.929	83.771	84.607	84.348	84.088	83.828	83.569
0.150000	554	554	557	2018.02.22 18:00	2018.02.22 18:00	2018.02.22 21:00	2018.02.22 11:00	2018.02.22 11:00	2018.02.22 14:00	83.922	83.922	83.678	84.512	84.263	84.014	83.765	83.516
0.269000	558	561	563	2018.02.22 22:00	2018.02.23 01:00	2018.02.23 03:00	2018.02.22 15:00	2018.02.22 18:00	2018.02.22 20:00	83.738	83.951	83.798	84.075	83.962	83.849	83.736	83.623
0.123000	565	566	567	2018.02.23 05:00	2018.02.23 06:00	2018.02.23 07:00	2018.02.22 22:00	2018.02.22 23:00	2018.02.23 00:00	83.676	83.761	83.675	84.003	83.908	83.813	83.718	83.624
0.118000	568	569	570	2018.02.23 08:00	2018.02.23 09:00	2018.02.23 10:00	2018.02.23 01:00	2018.02.23 02:00	2018.02.23 03:00	83.737	83.793	83.699	84.003	83.906	83.810	83.713	83.617
0.031000	571	571	572	2018.02.23 11:00	2018.02.23 11:00	2018.02.23 12:00	2018.02.23 04:00	2018.02.23 04:00	2018.02.23 05:00	83.728	83.728	83.683	83.975	83.882	83.789	83.696	83.603
0.071000	574	575	577	2018.02.23 14:00	2018.02.23 15:00	2018.02.23 17:00	2018.02.23 07:00	2018.02.23 08:00	2018.02.23 10:00	83.689	83.729	83.628	83.934	83.845	83.755	83.666	83.577
0.013000	581	581	582	2018.02.23 21:00	2018.02.23 21:00	2018.02.23 22:00	2018.02.23 14:00	2018.02.23 14:00	2018.02.23 15:00	83.530	83.530	83.503	83.856	83.770	83.684	83.598	83.511
0.382000	585	591	593	2018.02.24 01:00	2018.02.26 07:00	2018.02.26 09:00	2018.02.23 18:00	2018.02.26 00:00	2018.02.26 02:00	83.476	83.957	83.676	83.873	83.739	83.605	83.471	83.337
0.319000	595	600	605	2018.02.26 11:00	2018.02.26 16:00	2018.02.26 21:00	2018.02.26 04:00	2018.02.26 09:00	2018.02.26 14:00	83.750	83.977	83.772	84.061	83.874	83.687	83.500	83.312
0.140000	606	607	608	2018.02.26 22:00	2018.02.26 23:00	2018.02.27 00:00	2018.02.26 15:00	2018.02.26 16:00	2018.02.26 17:00	83.775	83.912	83.840	84.048	83.940	83.832	83.723	83.615
0.315000	609	618	620	2018.02.27 01:00	2018.02.27 10:00	2018.02.27 12:00	2018.02.26 18:00	2018.02.27 03:00	2018.02.27 05:00	83.884	84.127	83.883	84.101	84.019	83.937	83.855	83.773
0.028000	621	621	622	2018.02.27 13:00	2018.02.27 13:00	2018.02.27 14:00	2018.02.27 06:00	2018.02.27 06:00	2018.02.27 07:00	83.913	83.913	83.857	84.102	84.019	83.936	83.853	83.770
0.139000	623	624	626	2018.02.27 15:00	2018.02.27 16:00	2018.02.27 18:00	2018.02.27 08:00	2018.02.27 09:00	2018.02.27 11:00	83.866	83.999	83.916	84.109	84.022	83.934	83.847	83.760
0.015000	627	627	628	2018.02.27 19:00	2018.02.27 19:00	2018.02.27 20:00	2018.02.27 12:00	2018.02.27 12:00	2018.02.27 13:00	83.931	83.931	83.873	84.091	84.022	83.953	83.884	83.815
0.032000	629	629	630	2018.02.27 21:00	2018.02.27 21:00	2018.02.27 22:00	2018.02.27 14:00	2018.02.27 14:00	2018.02.27 15:00	83.906	83.906	83.881	84.087	84.021	83.955	83.890	83.824
0.121000	632	632	633	2018.02.28 00:00	2018.02.28 00:00	2018.02.28 01:00	2018.02.27 17:00	2018.02.27 17:00	2018.02.27 18:00	83.999	83.999	83.862	84.091	84.021	83.951	83.880	83.810
0.025000	634	634	635	2018.02.28 02:00	2018.02.28 02:00	2018.02.28 03:00	2018.02.27 19:00	2018.02.27 19:00	2018.02.27 20:00	83.886	83.886	83.747	84.087	84.014	83.941	83.868	83.794
0.130000	639	640	641	2018.02.28 07:00	2018.02.28 08:00	2018.02.28 09:00	2018.02.28 00:00	2018.02.28 01:00	2018.02.28 02:00	83.681	83.718	83.612	84.076	83.959	83.841	83.724	83.607
0.143000	643	643	646	2018.02.28 11:00	2018.02.28 11:00	2018.02.28 14:00	2018.02.28 04:00	2018.02.28 04:00	2018.02.28 07:00	83.578	83.578	83.474	84.108	83.949	83.791	83.633	83.474
0.182000	647	649	654	2018.02.28 15:00	2018.02.28 17:00	2018.02.28 22:00	2018.02.28 08:00	2018.02.28 10:00	2018.02.28 15:00	83.525	83.658	83.554	83.986	83.829	83.672	83.516	83.359
0.018000	657	657	659	2018.03.01 01:00	2018.03.01 01:00	2018.03.01 03:00	2018.02.28 18:00	2018.02.28 18:00	2018.02.28 20:00	83.159	83.159	83.146	83.819	83.675	83.530	83.386	83.242
0.024000	664	664	665	2018.03.01 08:00	2018.03.01 08:00	2018.03.01 09:00	2018.03.01 01:00	2018.03.01 01:00	2018.03.01 02:00	82.783	82.783	82.556	83.928	83.612	83.297	82.982	82.667
0.186000	668	673	674	2018.03.01 12:00	2018.03.01 17:00	2018.03.01 18:00	2018.03.01 05:00	2018.03.01 10:00	2018.03.01 11:00	82.526	82.636	82.364	83.494	83.164	82.834	82.504	82.173
0.588000	675	681	682	2018.03.01 19:00	2018.03.02 01:00	2018.03.02 02:00	2018.03.01 12:00	2018.03.01 18:00	2018.03.01 19:00	82.509	82.957	82.620	82.944	82.783	82.622	82.461	82.300
0.411000	684	689	690	2018.03.02 04:00	2018.03.02 09:00	2018.03.02 10:00	2018.03.01 21:00	2018.03.02 02:00	2018.03.02 03:00	82.454	82.598	82.289	82.913	82.733	82.552	82.372	82.192
0.058000	693	693	694	2018.03.02 13:00	2018.03.02 13:00	2018.03.02 14:00	2018.03.02 06:00	2018.03.02 06:00	2018.03.02 07:00	82.267	82.267	82.109	82.918	82.702	82.487	82.272	82.056
0.034000	695	695	696	2018.03.02 15:00	2018.03.02 15:00	2018.03.02 16:00	2018.03.02 08:00	2018.03.02 08:00	2018.03.02 09:00	82.143	82.143	82.057	82.937	82.696	82.456	82.216	81.976
